symbol,route,route_after_fix,ticker,multiplier,binance_price,cg_id,cg_price,price_ratio,identity,shown_cap_usd,right_cg_id,right_cap_usd,cap_error_x,same_ticker_ids
ARPAUSDT,binance-原名,binance-原名,ARPA,1.0,0.01141,,,,,,,,,
CTSIUSDT,binance-原名,binance-原名,CTSI,1.0,0.02921,,,,,,,,,
LPTUSDT,binance-原名,binance-原名,LPT,1.0,1.784,,,,,,,,,
ENSUSDT,binance-原名,binance-原名,ENS,1.0,7.009,,,,,,,,,
PEOPLEUSDT,binance-原名,binance-原名,PEOPLE,1.0,0.009268,,,,,,,,,
ROSEUSDT,binance-原名,binance-原名,ROSE,1.0,0.008024,,,,,,,,,
DUSKUSDT,binance-原名,binance-原名,DUSK,1.0,0.0919,,,,,,,,,
FLOWUSDT,binance-原名,binance-原名,FLOW,1.0,0.03398,,,,,,,,,
IMXUSDT,binance-原名,binance-原名,IMX,1.0,0.1526,,,,,,,,,
API3USDT,binance-原名,binance-原名,API3,1.0,0.2759,,,,,,,,,
GMTUSDT,binance-原名,binance-原名,GMT,1.0,0.008675,,,,,,,,,
APEUSDT,binance-原名,binance-原名,APE,1.0,0.1623,,,,,,,,,
WOOUSDT,binance-原名,binance-原名,WOO,1.0,0.01302,,,,,,,,,
JASMYUSDT,binance-原名,binance-原名,JASMY,1.0,0.004517,,,,,,,,,
OPUSDT,binance-原名,binance-原名,OP,1.0,0.13475,,,,,,,,,
INJUSDT,binance-原名,binance-原名,INJ,1.0,8.126,,,,,,,,,
STGUSDT,binance-原名,binance-原名,STG,1.0,0.132,,,,,,,,,
SPELLUSDT,binance-原名,binance-原名,SPELL,1.0,9.32e-05,,,,,,,,,
1000LUNCUSDT,binance-去打包前缀,binance-去打包前缀,LUNC,1000.0,0.05586,,,,,,,,,
LUNA2USDT,查不到,查不到,,1.0,0.05577,,,,,,,,,
LDOUSDT,binance-原名,binance-原名,LDO,1.0,0.4204,,,,,,,,,
ICPUSDT,binance-原名,binance-原名,ICP,1.0,3.028,,,,,,,,,
